Term,ID,pic_id,pic_id2,wing_blades
antenna,HAO:0000101,,29,
coxa,HAO:0000228,,,
cranium,HAO:0000234,"51, 53, 55, 29",53,
eye,HAO:0000217,,55,
female genitalia,HAO:0000324,1,,
femur,HAO:0000327,,,
fore leg,HAO:0000349,,,
fore wing,HAO:0000351,94,,92
head,HAO:0000397,,,
hind leg,HAO:0000399,,,
hind wing,HAO:0000400,90,,88
leg,HAO:0000494,,,
male genitalia,HAO:0000505,,,
mesocoxa,HAO:0000635,39,,
mesofemur,HAO:0001131,67,,
mesonotum,HAO:0000556,3,,
mesopectus,HAO:0000557,13,,
mesosoma,HAO:0000576,,,
mesotarsus,HAO:0001132,37,,
mesotibia,HAO:0001351,"65, 59, 61","59, 61",
mesotrochantellus,HAO:0001858,21,,
mesotrochanter,HAO:0001130,63,,
metacoxa,HAO:0000587,35,,
metafemur,HAO:0001140,73,,
metanotum,HAO:0000603,75,,
metapectal-propodeal complex,HAO:0000604,6,,
metasoma,HAO:0000626,,77,
metasoma gen.,HAO:x000626,"15, 77",,
metatarsus,HAO:0001141,31,,
metatibia,HAO:0000631,"33, 17, 19","17, 19",
metatrochantellus,HAO:0001859,69,,
metatrochanter,HAO:0001139,71,,
mid leg,HAO:0000636,,,
mouthparts,HAO:0000639,49,,
procoxa,HAO:0001122,47,,
profemur,HAO:0001124,45,,
pronotum,HAO:0000853,9,,
propectus,HAO:0000854,11,,
protarsus,HAO:0001125,41,,
protibia,HAO:0000350,"43, 23, 25","23, 25",
protrochantellus,HAO:0001243,27,,
protrochanter,HAO:0001123,57,,
tarsus,HAO:0000992,,,
tibia,HAO:0001017,,,
trochantellus,HAO:0001033,,,
trochanter,HAO:0001034,,,
wing,HAO:0001089,,,
